eid,label,crit,acc,fa,fp,n_ch,alarm_pct,detected,cov,ws,lead,tp,fn
1,normal,18272.0,0.10892503340551997,True,19339,16,89.107496659448,,,,,,
4,anomaly,5270.0,,,6826,5,27.238627294493217,True,0.0,0.0,,0.0,0.0
5,anomaly,4847.0,,,6110,6,26.52715668822993,True,0.0,0.0,,0.0,0.0
6,normal,22731.0,0.055629414208558374,True,22731,8,94.43705857914416,,,,,,
8,normal,4222.0,0.8233936741595385,True,4439,7,17.66063258404615,,,,,,
9,anomaly,4879.0,,,5523,7,21.545603495357728,True,0.0,0.0,,0.0,0.0
11,anomaly,19287.0,,,19287,12,99.26402470406587,True,0.0,0.0,,0.0,0.0
12,anomaly,5185.0,,,7968,9,30.595553507660405,True,0.0,0.0,,0.0,0.0
15,anomaly,10891.0,,,10891,15,45.651171563901585,True,0.0,0.0,,0.0,0.0
16,anomaly,17507.0,,,17507,9,85.70938999314599,True,0.0,0.0,,0.0,0.0
18,anomaly,17148.0,,,17208,5,74.20119874089086,True,0.0,0.0,,0.0,0.0
20,normal,8515.0,0.5826160067261881,True,10425,12,41.738399327381195,,,,,,
28,anomaly,9466.0,,,13806,8,57.338649389484175,True,0.0,0.0,,0.0,0.0
29,normal,10964.0,0.4355880717066701,True,13192,5,56.441192829332984,,,,,,
30,anomaly,479.0,,,479,6,1.968196573119119,True,0.0,0.0,,0.0,0.0
31,anomaly,3761.0,,,9282,8,38.675,True,0.0,0.0,,0.0,0.0
32,normal,14515.0,0.39774735890163193,True,14651,10,60.22526410983681,,,,,,
33,anomaly,15914.0,,,15914,18,64.35879807497878,True,0.0,0.0,,0.0,0.0
35,anomaly,16980.0,,,18410,16,83.1789635386075,True,0.0,0.0,,0.0,0.0
36,normal,8413.0,0.6271990074001861,True,8413,9,37.280099259981384,,,,,,
37,normal,9591.0,0.5655856508741733,True,9591,5,43.44143491258266,,,,,,
39,anomaly,7257.0,,,11772,7,55.609617837403746,True,0.0,0.0,,0.0,0.0
41,normal,1516.0,0.8561512501917472,True,3751,8,14.38487498082528,,,,,,
43,normal,7648.0,0.4105142200517093,True,12312,7,58.94857799482908,,,,,,
44,anomaly,4459.0,,,4459,7,15.719523373052247,True,0.0,0.0,,0.0,0.0
46,normal,1483.0,0.9315339805825242,True,1763,6,6.846601941747572,,,,,,
47,anomaly,2592.0,,,2930,7,11.45247029393371,True,0.0,0.0,,0.0,0.0
48,normal,10098.0,0.31122206371849737,True,11588,6,68.87779362815026,,,,,,
49,anomaly,77.0,,,153,5,0.6257924659495275,True,0.0,0.0,,0.0,0.0
50,normal,21252.0,0.15268051888416945,True,22143,7,84.73194811158305,,,,,,
54,normal,1915.0,0.8175394167143207,True,4467,8,18.246058328567926,,,,,,
55,anomaly,4255.0,,,8161,9,32.35795567186075,True,0.0,0.0,,0.0,0.0
56,normal,15823.0,0.350398226455374,True,15823,5,64.9601773544626,,,,,,
57,normal,23637.0,0.08786756193563325,True,23637,9,91.21324380643668,,,,,,
58,normal,16297.0,0.3220252768321791,True,17327,8,67.79747231678209,,,,,,
59,normal,3613.0,0.7148084283130757,True,6781,5,28.519157168692434,,,,,,
60,normal,1818.0,0.9294884226040414,True,1818,6,7.051157739595857,,,,,,
61,normal,9887.0,0.5928650646950092,True,11013,8,40.71349353049907,,,,,,
62,normal,20080.0,0.1931206300731335,True,20080,9,80.68793699268664,,,,,,
63,normal,6410.0,0.7222019981393843,True,6868,7,27.77980018606156,,,,,,
64,normal,24389.0,0.041237518672851636,True,24389,12,95.87624813271484,,,,,,
65,normal,3951.0,0.8456339128736081,True,3951,8,15.436608712639188,,,,,,
66,anomaly,7584.0,,,13729,15,58.25765933972672,True,0.0,0.0,,0.0,0.0
67,anomaly,11669.0,,,13735,7,50.1423773364486,True,0.0,0.0,,0.0,0.0
70,anomaly,2753.0,,,5038,7,20.71120246659815,True,0.0,0.0,,0.0,0.0
75,normal,2334.0,0.8982957669048928,True,2775,6,10.17042330951072,,,,,,
76,anomaly,15615.0,,,15615,11,80.2291527513744,True,0.0,0.0,,0.0,0.0
78,anomaly,4559.0,,,4559,6,18.91779741898004,True,0.0,0.0,,0.0,0.0
79,anomaly,2716.0,,,2799,5,11.416102455338935,True,0.0,0.0,,0.0,0.0
80,normal,7319.0,0.5797687861271676,True,10178,7,42.02312138728323,,,,,,
81,anomaly,19775.0,,,19775,8,83.71433409533485,True,0.0,0.0,,0.0,0.0
85,normal,12908.0,0.4417463720316623,True,13541,5,55.82536279683378,,,,,,
88,normal,11854.0,0.43573876618431073,True,11854,10,56.42612338156893,,,,,,
89,normal,0.0,1.0,False,0,2,0.0,,,,,,
90,anomaly,8559.0,,,13466,9,55.39056394224836,True,0.0,0.0,,0.0,0.0
91,anomaly,17507.0,,,17507,10,70.98199805384365,True,0.0,0.0,,0.0,0.0
93,normal,13756.0,0.46715215370312985,True,13756,18,53.284784629687024,,,,,,
94,normal,5707.0,0.6495709359210843,True,8739,5,35.04290640789157,,,,,,
